time,open,high,low,close
2020-08-11T00:00:00Z,347.1,360,325,338
2020-08-12T00:00:00Z,337.9,339.8,324,333.7
2020-08-13T00:00:00Z,333.7,347.1,322,345.3
2020-08-14T00:00:00Z,345.3,360,341.5,352.8
2020-08-15T00:00:00Z,352.6,357.8,345,349.8
2020-08-16T00:00:00Z,350.1,355,341.5,354.9
2020-08-17T00:00:00Z,355,373.4,348.8,364.1
2020-08-18T00:00:00Z,364,370.8,349.2,354.4
2020-08-19T00:00:00Z,354.2,357.8,331.4,342
2020-08-20T00:00:00Z,342,345.9,335.3,343.7
2020-08-21T00:00:00Z,343.7,348.2,333,333.6
2020-08-22T00:00:00Z,334,339.8,325,339.5
2020-08-23T00:00:00Z,339.3,341.4,330.1,337.7
2020-08-24T00:00:00Z,337.7,343.6,334.2,339.9
2020-08-25T00:00:00Z,339.9,341,323.2,328.8
2020-08-26T00:00:00Z,328.9,331.1,324.7,326.7
2020-08-27T00:00:00Z,326.8,328.7,303.1,313
2020-08-28T00:00:00Z,313,320.6,306,318.4
2020-08-29T00:00:00Z,318.4,324.1,315.1,320.8
2020-08-30T00:00:00Z,320.6,332,320.4,330.5
2020-08-31T00:00:00Z,330.6,333.6,325.5,331.3
2020-09-01T00:00:00Z,331.4,349,326.5,345.7
2020-09-02T00:00:00Z,345.6,355.3,314.4,329.2
2020-09-03T00:00:00Z,329,329.9,293.3,296.1
2020-09-04T00:00:00Z,295.6,322,292.6,306.4
2020-09-05T00:00:00Z,306.7,313.3,282,288.9
2020-09-06T00:00:00Z,288.9,293.8,276,289.2
2020-09-07T00:00:00Z,289.2,292.9,276.1,288.3
2020-09-08T00:00:00Z,288.4,290.3,278,282.9
2020-09-09T00:00:00Z,283.3,287.9,279,284.3
2020-09-10T00:00:00Z,284.2,295,284.2,290
2020-09-11T00:00:00Z,290,291.2,283,288.1
2020-09-12T00:00:00Z,288.3,294.4,285.8,293.1
2020-09-13T00:00:00Z,293.1,301.2,285,289.7
2020-09-14T00:00:00Z,289.7,294.2,286.4,290.7
2020-09-15T00:00:00Z,290.7,294.9,287,288.8
2020-09-16T00:00:00Z,288.6,295,279.1,291
2020-09-17T00:00:00Z,291,304,289.2,294.6
2020-09-18T00:00:00Z,294.7,297.1,288.2,292.7
